Node=48050 Seq=68 -17,9,251 29.51 63.07 93.65 1776553916387 
Node=48050 Seq=69 -17,9,251 29.51 63.07 93.77 1776553916625 
Node=48050 Seq=70 -18,9,251 29.51 63.07 93.65 1776553916876 
Node=48050 Seq=71 -16,8,251 29.51 63.07 93.58 1776553917111 
Node=48050 Seq=72 -17,10,250 29.51 63.04 93.65 1776553917350 
Node=48050 Seq=73 -17,9,250 29.51 63.07 93.65 1776553917594 
Node=48050 Seq=74 -18,9,250 29.45 63.04 93.65 1776553917834 
Node=48050 Seq=75 -17,9,250 29.51 63.04 93.77 1776553918082 
Node=48050 Seq=76 -17,9,249 29.51 63.04 93.65 1776553918320 
Node=48050 Seq=77 -17,9,249 29.51 63.04 93.71 1776553918554 
Node=48050 Seq=78 -17,10,251 29.51 63.04 93.52 1776553918803 
Node=48050 Seq=79 -16,9,249 29.51 63.04 93.71 1776553919049 
Node=48050 Seq=80 -17,9,249 29.51 63.04 93.58 1776553919293 
Node=48050 Seq=81 -18,9,251 29.51 63.04 93.58 1776553919532 
Node=48050 Seq=82 -17,8,249 29.51 63.04 93.71 1776553919779 
Node=48050 Seq=83 -17,9,250 29.51 63.01 93.65 1776553920025 
Node=48050 Seq=84 -18,9,248 29.51 63.01 93.46 1776553920263 
Node=48050 Seq=85 -16,7,250 29.51 63.01 93.65 1776553920504 
Node=48050 Seq=86 -17,9,249 29.51 63.01 93.58 1776553920750 
Node=48050 Seq=87 -16,9,251 29.51 63.01 93.71 1776553920987 
Node=48050 Seq=88 -18,8,249 29.51 63.01 93.71 1776553921226 
Node=48050 Seq=89 -16,9,250 29.51 63.01 93.58 1776553921465 
Node=48050 Seq=90 -17,8,250 29.51 63.01 93.65 1776553921708 
Node=48050 Seq=91 -17,9,250 29.51 63.01 93.65 1776553921941 
Node=48050 Seq=92 -15,10,250 29.51 63.01 93.46 1776553922190 
Node=48050 Seq=93 -17,9,251 29.57 63.01 93.65 1776553922425 
Node=48050 Seq=94 -17,10,251 29.51 63.01 93.71 1776553922670 
Node=48050 Seq=95 -17,9,251 29.51 63.01 93.71 1776553922919 
Node=48050 Seq=96 -15,8,250 29.51 63.01 93.58 1776553923157 
Node=48050 Seq=97 -6,11,248 29.51 62.98 93.52 1776553923397 
Node=48050 Seq=98 -10,10,251 29.51 62.98 93.65 1776553923637 
